Morphology,Phase,Ni ,Co ,Fe ,Al ,Mo ,Zn ,Mn ,Cr ,Cu,Mg,Nb,Sn,Ga,Al,Fe,Zn,La,WE,Overpotential(mV),Prediction_Std
0.7,0.1,0,0,0,0,0.29,0,0.2,0,0,0.3,0,0,0.21,0.93,0.36,0.36,0.35,0.1,182.1007446418107,3.966281968411311e-05
0.4,0.1,0,0,0,0,0.24,0,0.18,0.27,0,0.13,0,0,0.18,0.49,0.56,0.53,0.42,0.1,191.3003623311024,4.184424570811636e-05
0.6,0,0,0,0.31,0,0.19,0,0,0.17,0,0,0,0.33,0,0,0,0,0,0.1,192.04636418628766,2.836960673861108e-05
0.5,0.1,0,0,0.25,0,0.26,0,0,0.16,0,0,0.19,0.14,0,0.77,0.47,0.49,0.27,0.1,201.2056026799893,3.4118390254339845e-05
0.5,0.2,0,0,0,0,0.4,0.17,0,0,0,0.15,0,0,0.28,0,0,0,0,0.2,207.86639917081007,3.046420544472733e-05
0.3,0,0,0,0,0,0.22,0,0.26,0.19,0,0.15,0.18,0,0,0,0,0,0,0.2,209.14712769663484,2.7450719327270237e-05
0.1,0.4,0.24,0,0,0,0.22,0.2,0,0.24,0,0.1,0,0,0,0,0,0,0,0.6,213.45359344950003,3.273501715804151e-05
0.4,0,0,0,0.31,0,0.26,0,0.29,0,0,0,0,0,0.14,0,0,0,0,0.7,213.6652366871816,3.2225285424919516e-05
0.6,0,0,0,0.18,0.36,0.21,0,0,0.25,0,0,0,0,0,0,0,0,0,0.2,217.98474206957852,3.939145839831583e-05
0.2,0.2,0,0,0,0,0.23,0,0.29,0.31,0,0,0.17,0,0,0,0,0,0,0.1,218.36093848284023,2.2977549626541874e-05
